algorithm,input_type,n,trial,time_ns,time_ms,max_depth,comparisons,swaps,moves,allocations,recursive_calls
MergeSort,RANDOM,100,0,1900,0.001900,4,668,0,999,100,15
MergeSort,RANDOM,100,1,2100,0.002100,4,668,0,999,100,15
MergeSort,RANDOM,100,2,1400,0.001400,4,668,0,999,100,15
MergeSort,RANDOM,100,3,1300,0.001300,4,668,0,999,100,15
MergeSort,RANDOM,100,4,2000,0.002000,4,668,0,999,100,15
MergeSort,RANDOM,100,5,3200,0.003200,4,668,0,999,100,15
MergeSort,RANDOM,100,6,1800,0.001800,4,668,0,999,100,15
QuickSort,RANDOM,100,0,1200,0.001200,3,670,84,491,0,10
QuickSort,RANDOM,100,1,1400,0.001400,3,670,84,491,0,10
QuickSort,RANDOM,100,2,5000,0.005000,3,670,84,491,0,10
QuickSort,RANDOM,100,3,1900,0.001900,3,670,84,491,0,10
QuickSort,RANDOM,100,4,1200,0.001200,3,670,84,491,0,10
QuickSort,RANDOM,100,5,1100,0.001100,3,670,84,491,0,10
QuickSort,RANDOM,100,6,1100,0.001100,3,670,84,491,0,10
Arrays.sort,RANDOM,100,0,3500,0.003500,0,0,0,0,0,0
Arrays.sort,RANDOM,100,1,4900,0.004900,0,0,0,0,0,0
Arrays.sort,RANDOM,100,2,4500,0.004500,0,0,0,0,0,0
Arrays.sort,RANDOM,100,3,4100,0.004100,0,0,0,0,0,0
Arrays.sort,RANDOM,100,4,3700,0.003700,0,0,0,0,0,0
Arrays.sort,RANDOM,100,5,3900,0.003900,0,0,0,0,0,0
Arrays.sort,RANDOM,100,6,3600,0.003600,0,0,0,0,0,0
MergeSort,RANDOM,500,0,8000,0.008000,6,4832,0,7432,500,63
MergeSort,RANDOM,500,1,8400,0.008400,6,4832,0,7432,500,63
MergeSort,RANDOM,500,2,8200,0.008200,6,4832,0,7432,500,63
MergeSort,RANDOM,500,3,11500,0.011500,6,4832,0,7432,500,63
MergeSort,RANDOM,500,4,14700,0.014700,6,4832,0,7432,500,63
MergeSort,RANDOM,500,5,21100,0.021100,6,4832,0,7432,500,63
MergeSort,RANDOM,500,6,15000,0.015000,6,4832,0,7432,500,63
QuickSort,RANDOM,500,0,7100,0.007100,5,5687,731,3208,0,60
QuickSort,RANDOM,500,1,7800,0.007800,5,5687,731,3208,0,60
QuickSort,RANDOM,500,2,6800,0.006800,5,5687,731,3208,0,60
QuickSort,RANDOM,500,3,6600,0.006600,5,5687,731,3208,0,60
QuickSort,RANDOM,500,4,6900,0.006900,5,5687,731,3208,0,60
QuickSort,RANDOM,500,5,6700,0.006700,5,5687,731,3208,0,60
QuickSort,RANDOM,500,6,7300,0.007300,5,5687,731,3208,0,60
Arrays.sort,RANDOM,500,0,6000,0.006000,0,0,0,0,0,0
Arrays.sort,RANDOM,500,1,6600,0.006600,0,0,0,0,0,0
Arrays.sort,RANDOM,500,2,6000,0.006000,0,0,0,0,0,0
Arrays.sort,RANDOM,500,3,14600,0.014600,0,0,0,0,0,0
Arrays.sort,RANDOM,500,4,6000,0.006000,0,0,0,0,0,0
Arrays.sort,RANDOM,500,5,6000,0.006000,0,0,0,0,0,0
Arrays.sort,RANDOM,500,6,6000,0.006000,0,0,0,0,0,0
MergeSort,RANDOM,1000,0,16900,0.016900,7,10306,0,16489,1000,127
MergeSort,RANDOM,1000,1,17100,0.017100,7,10306,0,16489,1000,127
MergeSort,RANDOM,1000,2,16700,0.016700,7,10306,0,16489,1000,127
MergeSort,RANDOM,1000,3,16700,0.016700,7,10306,0,16489,1000,127
MergeSort,RANDOM,1000,4,16500,0.016500,7,10306,0,16489,1000,127
MergeSort,RANDOM,1000,5,16500,0.016500,7,10306,0,16489,1000,127
MergeSort,RANDOM,1000,6,41900,0.041900,7,10306,0,16489,1000,127
QuickSort,RANDOM,1000,0,14100,0.014100,5,11962,1679,6819,0,122
QuickSort,RANDOM,1000,1,16800,0.016800,5,11962,1679,6819,0,122
QuickSort,RANDOM,1000,2,21400,0.021400,5,11962,1679,6819,0,122
QuickSort,RANDOM,1000,3,21200,0.021200,5,11962,1679,6819,0,122
QuickSort,RANDOM,1000,4,18900,0.018900,5,11962,1679,6819,0,122
QuickSort,RANDOM,1000,5,17300,0.017300,5,11962,1679,6819,0,122
QuickSort,RANDOM,1000,6,16500,0.016500,5,11962,1679,6819,0,122
Arrays.sort,RANDOM,1000,0,10600,0.010600,0,0,0,0,0,0
Arrays.sort,RANDOM,1000,1,10500,0.010500,0,0,0,0,0,0
Arrays.sort,RANDOM,1000,2,10500,0.010500,0,0,0,0,0,0
Arrays.sort,RANDOM,1000,3,10600,0.010600,0,0,0,0,0,0
Arrays.sort,RANDOM,1000,4,10600,0.010600,0,0,0,0,0,0
Arrays.sort,RANDOM,1000,5,10500,0.010500,0,0,0,0,0,0
Arrays.sort,RANDOM,1000,6,11600,0.011600,0,0,0,0,0,0
MergeSort,RANDOM,5000,0,235000,0.235000,10,58960,0,105468,5000,1023
MergeSort,RANDOM,5000,1,230500,0.230500,10,58960,0,105468,5000,1023
MergeSort,RANDOM,5000,2,229800,0.229800,10,58960,0,105468,5000,1023
MergeSort,RANDOM,5000,3,230500,0.230500,10,58960,0,105468,5000,1023
MergeSort,RANDOM,5000,4,395900,0.395900,10,58960,0,105468,5000,1023
MergeSort,RANDOM,5000,5,269500,0.269500,10,58960,0,105468,5000,1023
MergeSort,RANDOM,5000,6,252400,0.252400,10,58960,0,105468,5000,1023
QuickSort,RANDOM,5000,0,208600,0.208600,7,80824,11003,39215,0,602
QuickSort,RANDOM,5000,1,209800,0.209800,7,80824,11003,39215,0,602
QuickSort,RANDOM,5000,2,207000,0.207000,7,80824,11003,39215,0,602
QuickSort,RANDOM,5000,3,236800,0.236800,7,80824,11003,39215,0,602
